country_name,indicator_name,sex,age_group,age_categories,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,Average_per_years,region,sub_region,economic_level,standard_deviation
Albania,Unemployment rate by sex and age,Male,25+,Adults,16.316,13.874,13.311,11.972,10.201,9.43,10.826,10.717,9.882,9.476,9.324,11.39354545,Europe,Southern Europe,Upper-middle income,2.25159323
Albania,Unemployment rate by sex and age,Male,Under 15,Children,19.853,17.245,16.148,14.452,12.625,11.584,13.065,12.791,11.751,11.198,10.951,13.78754545,Europe,Southern Europe,Upper-middle income,2.852692215
Algeria,Unemployment rate by sex and age,Female,15-24,Youth,39.169,44.598,43.664,45.734,46.235,46.65,52.886,50.507,47.635,47.168,46.95,46.47236364,Africa,Northern Africa,Upper-middle income,3.533399702
Algeria,Unemployment rate by sex and age,Female,25+,Adults,11.913,12.301,14.918,17.576,17.879,18.138,20.163,19.887,18.914,18.625,18.4,17.15581818,Africa,Northern Africa,Upper-middle income,2.846553032
Algeria,Unemployment rate by sex and age,Female,Under 15,Children,15.687,16.605,18.309,20.785,21.02,21.23,23.536,23.017,21.777,21.506,21.343,20.43772727,Africa,Northern Africa,Upper-middle income,2.507675062
Algeria,Unemployment rate by sex and age,Male,15-24,Youth,22.742,27.05,22.346,26.877,27.36,27.767,31.682,30.337,28.594,27.825,27.461,27.27645455,Africa,Northern Africa,Upper-middle income,2.759995919
Algeria,Unemployment rate by sex and age,Male,25+,Adults,6.491,7.15,6.042,7.369,7.56,7.726,9.19,8.995,8.053,7.784,7.615,7.634090909,Africa,Northern Africa,Upper-middle income,0.929043213
Algeria,Unemployment rate by sex and age,Male,Under 15,Children,9.021,9.941,8.206,9.858,10,10.126,11.773,11.446,10.283,10.004,9.875,10.04845455,Africa,Northern Africa,Upper-middle income,0.975743139
Angola,Unemployment rate by sex and age,Female,15-24,Youth,35.356,34.368,33.342,32.167,30.859,29.378,30.112,27.502,25.521,25.478,25.462,29.95863636,Africa,Sub-Saharan Africa,Lower-middle income,3.634458344
Angola,Unemployment rate by sex and age,Female,25+,Adults,11.437,11.707,11.968,12.162,12.284,12.303,12.206,12.044,11.056,10.685,10.451,11.66390909,Africa,Sub-Saharan Africa,Lower-middle income,0.665143361
Angola,Unemployment rate by sex and age,Female,Under 15,Children,17.59,17.486,17.375,17.189,16.926,16.55,16.601,15.78,14.597,14.321,14.159,16.234,Africa,Sub-Saharan Africa,Lower-middle income,1.310901751
Angola,Unemployment rate by sex and age,Male,15-24,Youth,35.298,35.222,35.129,34.889,34.5,33.9,34.835,32.405,30.465,29.745,29.351,33.249,Africa,Sub-Saharan Africa,Lower-middle income,2.339973077
Angola,Unemployment rate by sex and age,Male,25+,Adults,8.104,8.691,9.277,9.814,10.292,10.675,10.801,10.272,9.179,9.041,8.866,9.546545455,Africa,Sub-Saharan Africa,Lower-middle income,0.879769443
Angola,Unemployment rate by sex and age,Male,Under 15,Children,15.053,15.416,15.785,16.092,16.328,16.45,16.796,15.82,14.361,14.126,13.947,15.47036364,Africa,Sub-Saharan Africa,Lower-middle income,0.979591678
Argentina,Unemployment rate by sex and age,Female,15-24,Youth,22.255,23.71,25.574,26.945,27.87,28.522,34.984,26.703,20.988,20.063,19.932,25.23145455,Americas,Latin America and the Caribbean,Upper-middle income,4.495541444
Argentina,Unemployment rate by sex and age,Female,25+,Adults,6.238,6.394,6.724,6.846,7.931,8.138,9.424,7.546,5.944,5.899,5.728,6.982909091,Americas,Latin America and the Caribbean,Upper-middle income,1.154364626
Argentina,Unemployment rate by sex and age,Female,Under 15,Children,8.393,8.709,9.225,9.491,10.563,10.712,12.39,9.858,7.689,7.583,7.394,9.273363636,Americas,Latin America and the Caribbean,Upper-middle income,1.54372454
Argentina,Unemployment rate by sex and age,Male,15-24,Youth,17.149,18.074,19.355,20.197,21.09,23.983,27.217,20.985,17.637,17.944,17.729,20.12363636,Americas,Latin America and the Caribbean,Upper-middle income,3.117698102
Argentina,Unemployment rate by sex and age,Male,25+,Adults,4.671,4.871,5.224,5.389,6.119,6.84,8.48,6.048,4.457,4.621,4.657,5.579727273,Americas,Latin America and the Caribbean,Upper-middle income,1.226053106
Argentina,Unemployment rate by sex and age,Male,Under 15,Children,6.495,6.8,7.285,7.543,8.241,9.199,10.776,7.912,6.15,6.287,6.257,7.540454545,Americas,Latin America and the Caribbean,Upper-middle income,1.438979386
Armenia,Unemployment rate by sex and age,Female,15-24,Youth,21.837,23.735,25.71,27.826,29.969,23.351,21.991,19.496,16.059,16.278,16.702,22.08672727,Asia,Western Asia,Upper-middle income,4.672967582
Armenia,Unemployment rate by sex and age,Female,25+,Adults,9.206,9.268,9.344,9.447,9.544,8.984,8.567,6.342,5.218,5.212,5.248,7.852727273,Asia,Western Asia,Upper-middle income,1.903482077
Armenia,Unemployment rate by sex and age,Female,Under 15,Children,10.873,11.039,11.203,11.345,11.493,10.431,9.633,7.301,6.082,6.101,6.176,9.243363636,Asia,Western Asia,Upper-middle income,2.31970689
Armenia,Unemployment rate by sex and age,Male,15-24,Youth,19.81,20.95,22.108,23.278,24.443,25.842,25.284,24.98,21.576,20.692,20.274,22.65790909,Asia,Western Asia,Upper-middle income,2.191945367
Armenia,Unemployment rate by sex and age,Male,25+,Adults,11.94,12.393,12.851,13.303,13.753,12.634,13.839,11.867,10.165,9.746,9.609,12.00909091,Asia,Western Asia,Upper-middle income,1.536826175
Armenia,Unemployment rate by sex and age,Male,Under 15,Children,13.13,13.612,14.091,14.543,15.003,14.112,15.022,13.035,11.305,10.848,10.694,13.21772727,Asia,Western Asia,Upper-middle income,1.600035755
Australia,Unemployment rate by sex and age,Female,15-24,Youth,12.453,11.904,11.391,11.468,10.675,10.604,13.122,9.786,7.254,7.301,7.971,10.35718182,Oceania,Australia and New Zealand,High income,2.046559103
Australia,Unemployment rate by sex and age,Female,25+,Adults,4.801,4.821,4.598,4.468,4.22,3.997,5.036,4.084,2.934,2.831,2.97,4.069090909,Oceania,Australia and New Zealand,High income,0.808228861
Australia,Unemployment rate by sex and age,Female,Under 15,Children,6.172,6.076,5.78,5.665,5.321,5.107,6.354,5.014,3.626,3.523,3.733,5.124636364,Oceania,Australia and New Zealand,High income,1.05041918
Australia,Unemployment rate by sex and age,Male,15-24,Youth,14.114,14.247,13.809,13.648,12.835,12.84,15.244,12.619,9.177,9.206,9.51,12.47718182,Oceania,Australia and New Zealand,High income,2.174558568
Australia,Unemployment rate by sex and age,Male,25+,Adults,4.448,4.469,4.098,3.989,3.85,3.785,5.014,3.897,2.829,2.756,2.86,3.817727273,Oceania,Australia and New Zealand,High income,0.734223412
Australia,Unemployment rate by sex and age,Male,Under 15,Children,6.002,6.046,5.65,5.525,5.281,5.207,6.554,5.214,3.766,3.702,3.817,5.160363636,Oceania,Australia and New Zealand,High income,0.985034748
Austria,Unemployment rate by sex and age,Female,15-24,Youth,10.079,10.178,10.372,8.894,9.467,7.934,9.082,12.362,10.317,10.783,11.554,10.09290909,Europe,Western Europe,High income,1.241261411
Austria,Unemployment rate by sex and age,Female,25+,Adults,4.718,4.669,4.904,4.578,4.091,3.974,4.505,5.684,4.133,4.356,4.747,4.578090909,Europe,Western Europe,High income,0.473347326
Austria,Unemployment rate by sex and age,Female,Under 15,Children,5.427,5.371,5.588,5.099,4.728,4.422,5.02,6.402,4.799,5.066,5.491,5.219363636,Europe,Western Europe,High income,0.529726396
Austria,Unemployment rate by sex and age,Male,15-24,Youth,10.907,11.576,12.359,10.968,9.658,9.501,11.416,11.79,10.378,10.136,10.943,10.87563636,Europe,Western Europe,High income,0.894424426
Austria,Unemployment rate by sex and age,Male,25+,Adults,5.147,5.389,5.631,5.299,4.503,4.049,4.58,5.838,4.51,4.845,5.297,5.008,Europe,Western Europe,High income,0.551559244
Austria,Unemployment rate by sex and age,Male,Under 15,Children,5.887,6.181,6.478,5.968,5.108,4.682,5.36,6.512,5.159,5.446,5.928,5.700818182,Europe,Western Europe,High income,0.592818997
Azerbaijan,Unemployment rate by sex and age,Female,15-24,Youth,15.562,15.478,14.881,14.316,13.334,12.736,17.692,16.372,15.261,15.255,15.388,15.11590909,Asia,Western Asia,Upper-middle income,1.34880506
Azerbaijan,Unemployment rate by sex and age,Female,25+,Adults,4.44,4.512,4.626,4.74,4.707,4.797,7.184,5.744,5.437,5.452,5.551,5.199090909,Asia,Western Asia,Upper-middle income,0.804520659
Azerbaijan,Unemployment rate by sex and age,Female,Under 15,Children,5.817,5.846,5.883,5.904,5.744,5.743,8.394,6.961,6.516,6.524,6.634,6.360545455,Asia,Western Asia,Upper-middle income,0.798706249
Azerbaijan,Unemployment rate by sex and age,Male,15-24,Youth,11.216,11.148,10.881,10.486,10.043,10.183,12.808,12.738,12.083,12.162,12.486,11.47581818,Asia,Western Asia,Upper-middle income,1.022773662
Azerbaijan,Unemployment rate by sex and age,Male,25+,Adults,2.872,2.976,3.08,3.136,3.169,3.382,5.121,4.019,3.783,3.728,3.744,3.546363636,Asia,Western Asia,Upper-middle income,0.645469329
Azerbaijan,Unemployment rate by sex and age,Male,Under 15,Children,4.004,4.073,4.118,4.103,4.06,4.262,6.097,5.121,4.792,4.766,4.836,4.566545455,Asia,Western Asia,Upper-middle income,0.643302163
Bahamas,Unemployment rate by sex and age,Female,15-24,Youth,33.868,30.02,33.48,28.465,27.29,27.455,33.785,31.072,28.306,27.001,26.722,29.76945455,Americas,Latin America and the Caribbean,High income,2.841641088
Bahamas,Unemployment rate by sex and age,Female,25+,Adults,11.521,10.299,11.53,8.796,7.407,7.415,9.339,8.835,7.731,7.353,7.262,8.862545455,Americas,Latin America and the Caribbean,High income,1.637472465
Bahamas,Unemployment rate by sex and age,Female,Under 15,Children,14.642,13.005,14.479,11.382,9.948,9.886,12.205,11.413,10.053,9.529,9.378,11.44727273,Americas,Latin America and the Caribbean,High income,1.923403239
Bahamas,Unemployment rate by sex and age,Male,15-24,Youth,26.025,21.536,20.912,16.96,22.215,22.215,27.518,25.109,23.049,21.686,21.446,22.60645455,Americas,Latin America and the Caribbean,High income,2.840214336
Bahamas,Unemployment rate by sex and age,Male,25+,Adults,10.061,8.713,8.878,6.461,7.432,7.394,9.942,9.042,7.715,7.231,7.132,8.181909091,Americas,Latin America and the Caribbean,High income,1.204346001
Bahamas,Unemployment rate by sex and age,Male,Under 15,Children,13.037,11.09,11.084,8.354,10.048,9.977,12.893,11.734,10.122,9.479,9.337,10.65045455,Americas,Latin America and the Caribbean,High income,1.474678634
Bahrain,Unemployment rate by sex and age,Female,15-24,Youth,12.57,12.395,12.591,12.787,12.978,13.125,15.703,14.383,12.924,12.727,12.6,13.16209091,Asia,Western Asia,High income,0.997490797
Bahrain,Unemployment rate by sex and age,Female,25+,Adults,2.407,2.422,2.532,2.587,2.629,2.69,3.789,3.409,3.193,3.068,2.968,2.881272727,Asia,Western Asia,High income,0.445725048
Bahrain,Unemployment rate by sex and age,Female,Under 15,Children,3.745,3.78,3.885,3.917,3.919,3.946,5.171,4.614,4.252,4.141,4.069,4.130818182,Asia,Western Asia,High income,0.423219994
Bahrain,Unemployment rate by sex and age,Male,15-24,Youth,2.643,2.609,2.665,2.735,2.786,2.812,2.868,3.282,2.776,2.696,2.647,2.774454545,Asia,Western Asia,High income,0.186679063
Bahrain,Unemployment rate by sex and age,Male,25+,Adults,0.205,0.214,0.237,0.245,0.252,0.269,0.706,0.522,0.379,0.348,0.322,0.336272727,Asia,Western Asia,High income,0.153413227
Bahrain,Unemployment rate by sex and age,Male,Under 15,Children,0.438,0.447,0.468,0.472,0.474,0.484,0.874,0.713,0.54,0.513,0.494,0.537909091,Asia,Western Asia,High income,0.134400487
Bangladesh,Unemployment rate by sex and age,Female,15-24,Youth,11.802,13,14.112,16.389,16.442,16.524,19.31,18.854,17.284,16.928,16.992,16.14881818,Asia,Southern Asia,Lower-middle income,2.305660722
Bangladesh,Unemployment rate by sex and age,Female,25+,Adults,6.35,5.988,5.654,4.275,4.286,4.304,5.06,5.244,4.377,4.365,4.42,4.938454545,Asia,Southern Asia,Lower-middle income,0.767816432
Bangladesh,Unemployment rate by sex and age,Female,Under 15,Children,7.441,7.363,7.283,6.656,6.651,6.648,7.732,7.688,6.619,6.504,6.516,7.009181818,Asia,Southern Asia,Lower-middle income,0.490311497
Bangladesh,Unemployment rate by sex and age,Male,15-24,Youth,9.67,9.7,9.708,10.223,10.265,10.323,12.14,11.941,10.282,10.027,10.121,10.4,Asia,Southern Asia,Lower-middle income,0.847963561
Bangladesh,Unemployment rate by sex and age,Male,25+,Adults,1.515,1.528,1.544,1.677,1.684,1.692,2.38,2.334,1.638,1.647,1.676,1.755909091,Asia,Southern Asia,Lower-middle income,0.304334505
Bangladesh,Unemployment rate by sex and age,Male,Under 15,Children,3.16,3.125,3.087,3.308,3.306,3.305,4.177,4.055,3.147,3.073,3.074,3.347,Asia,Southern Asia,Lower-middle income,0.391993367
Barbados,Unemployment rate by sex and age,Female,15-24,Youth,37.176,29.458,27.658,25.438,23.958,20.861,24.128,23.094,21.204,20.08,19.402,24.76881818,Americas,Latin America and the Caribbean,High income,5.170701864
Barbados,Unemployment rate by sex and age,Female,25+,Adults,9.347,6.72,6.369,6.939,6.768,5.654,6.446,6.406,5.777,5.425,5.182,6.457545455,Americas,Latin America and the Caribbean,High income,1.120653146
Barbados,Unemployment rate by sex and age,Female,Under 15,Children,12.65,8.974,8.65,8.776,8.532,7.278,8.269,8.137,7.358,6.909,6.603,8.376,Americas,Latin America and the Caribbean,High income,1.627581273
Barbados,Unemployment rate by sex and age,Male,15-24,Youth,28.574,27.973,24.655,26.567,24.119,29.615,34.198,32.223,30.434,28.507,27.327,28.56290909,Americas,Latin America and the Caribbean,High income,3.010661703
Barbados,Unemployment rate by sex and age,Male,25+,Adults,9.329,8.275,5.737,6.256,5.918,6.772,8.128,7.927,6.96,6.497,6.203,7.091090909,Americas,Latin America and the Caribbean,High income,1.155488507
Barbados,Unemployment rate by sex and age,Male,Under 15,Children,11.69,10.635,7.85,8.466,8.113,9.541,11.208,10.831,9.621,8.985,8.571,9.591909091,Americas,Latin America and the Caribbean,High income,1.324395821
Belarus,Unemployment rate by sex and age,Female,15-24,Youth,8.767,8.673,8.561,7.309,8.414,7.39,10.155,9.593,9.818,9.095,8.726,8.772818182,Europe,Eastern Europe,Upper-middle income,0.89554942
Belarus,Unemployment rate by sex and age,Female,25+,Adults,3.871,3.837,3.792,3.744,3.151,2.852,2.751,2.551,2.369,2.319,2.302,3.049,Europe,Eastern Europe,Upper-middle income,0.653531331
Belarus,Unemployment rate by sex and age,Female,Under 15,Children,4.319,4.261,4.199,4.053,3.568,3.206,3.314,3.075,2.909,2.823,2.793,3.501818182,Europe,Eastern Europe,Upper-middle income,0.60481366
Belarus,Unemployment rate by sex and age,Male,15-24,Youth,12.718,12.743,12.747,11.341,12.74,12.964,13.822,11.332,10.676,10.659,10.833,12.05227273,Europe,Eastern Europe,Upper-middle income,1.103891126
Belarus,Unemployment rate by sex and age,Male,25+,Adults,6.898,6.924,6.935,6.839,5.297,4.418,3.959,4.168,3.671,3.527,3.448,5.098545455,Europe,Eastern Europe,Upper-middle income,1.512316591
Belarus,Unemployment rate by sex and age,Male,Under 15,Children,7.503,7.504,7.495,7.253,5.943,5.12,4.79,4.737,4.238,4.12,4.081,5.707636364,Europe,Eastern Europe,Upper-middle income,1.467799051
Belgium,Unemployment rate by sex and age,Female,15-24,Youth,22.316,20.047,18.13,18.067,15.268,12.31,15.121,16.162,14.47,10.609,10.439,15.72172727,Europe,Western Europe,High income,3.761741248
Belgium,Unemployment rate by sex and age,Female,25+,Adults,6.686,6.748,6.72,6.231,4.789,4.318,4.61,5.029,4.483,4.352,4.374,5.303636364,Europe,Western Europe,High income,1.053535502
Belgium,Unemployment rate by sex and age,Female,Under 15,Children,7.938,7.769,7.56,7.058,5.566,4.94,5.353,5.856,5.252,4.846,4.859,6.090636364,Europe,Western Europe,High income,1.236616616
Belgium,Unemployment rate by sex and age,Male,15-24,Youth,23.948,23.772,21.707,20.253,16.193,15.98,15.506,19.938,18.187,17.973,18.251,19.24618182,Europe,Western Europe,High income,2.963951984
Belgium,Unemployment rate by sex and age,Male,25+,Adults,7.697,7.77,6.928,6.059,5.471,4.863,4.948,5.5,4.801,5.16,4.99,5.835181818,Europe,Western Europe,High income,1.125663077
Belgium,Unemployment rate by sex and age,Male,Under 15,Children,9.017,9.089,8.06,7.118,6.287,5.729,5.723,6.615,5.833,6.152,6.024,6.877,Europe,Western Europe,High income,1.278266326
Belize,Unemployment rate by sex and age,Female,15-24,Youth,29.447,26.036,26.503,25.981,28.542,30.771,33.664,29.45,26.75,26.187,26.236,28.14245455,Americas,Latin America and the Caribbean,Upper-middle income,2.493231131
Belize,Unemployment rate by sex and age,Female,25+,Adults,9.756,7.187,7.46,5.628,7.549,9.305,11.28,11.364,9.824,9.381,9.215,8.904454545,Americas,Latin America and the Caribbean,Upper-middle income,1.770755622
Belize,Unemployment rate by sex and age,Female,Under 15,Children,14.069,11.09,11.181,9.85,11.984,13.905,16.036,15.244,13.268,12.675,12.435,12.88518182,Americas,Latin America and the Caribbean,Upper-middle income,1.856822383
Belize,Unemployment rate by sex and age,Male,15-24,Youth,12.119,11.325,11.288,9.787,11.697,13.414,15.305,14.02,12.464,11.861,11.698,12.27072727,Americas,Latin America and the Caribbean,Upper-middle income,1.499610756
Belize,Unemployment rate by sex and age,Male,25+,Adults,2.499,3.684,2.409,3.157,3.549,3.831,4.887,4.808,3.838,3.561,3.479,3.609272727,Americas,Latin America and the Caribbean,Upper-middle income,0.779579514
Belize,Unemployment rate by sex and age,Male,Under 15,Children,4.767,5.45,4.416,4.609,5.365,6.01,7.222,6.892,5.682,5.309,5.177,5.536272727,Americas,Latin America and the Caribbean,Upper-middle income,0.885971793
Benin,Unemployment rate by sex and age,Female,15-24,Youth,4.807,4.866,4.969,4.9,4.532,4.374,5.148,5.061,4.619,4.432,4.361,4.733545455,Africa,Sub-Saharan Africa,Lower-middle income,0.282456851
Benin,Unemployment rate by sex and age,Female,25+,Adults,1.276,1.296,1.344,1.276,1.036,0.952,1.02,1.295,1.068,1.033,1.013,1.146272727,Africa,Sub-Saharan Africa,Lower-middle income,0.148276155
Benin,Unemployment rate by sex and age,Female,Under 15,Children,2.05,2.062,2.105,2.021,1.74,1.634,1.84,2.052,1.756,1.688,1.656,1.873090909,Africa,Sub-Saharan Africa,Lower-middle income,0.185935717
Benin,Unemployment rate by sex and age,Male,15-24,Youth,3.938,3.849,3.77,3.562,3.171,3.072,3.445,3.575,3.2,3.032,2.976,3.417272727,Africa,Sub-Saharan Africa,Lower-middle income,0.34623434
Benin,Unemployment rate by sex and age,Male,25+,Adults,1.088,1.12,1.182,1.121,0.883,0.799,1.059,1.188,0.889,0.846,0.818,0.999363636,Africa,Sub-Saharan Africa,Lower-middle income,0.152309076
Benin,Unemployment rate by sex and age,Male,Under 15,Children,1.587,1.587,1.615,1.519,1.247,1.156,1.431,1.564,1.241,1.179,1.145,1.388272727,Africa,Sub-Saharan Africa,Lower-middle income,0.19461762
Bhutan,Unemployment rate by sex and age,Female,15-24,Youth,9.826,12.423,13.468,14.518,15.571,13.387,24.736,23.881,33.555,32.987,32.804,20.65054545,Asia,Southern Asia,Lower-middle income,9.198736472
Bhutan,Unemployment rate by sex and age,Female,25+,Adults,2.471,1.52,1.905,2.297,2.695,1.967,3.654,4,4.964,5.266,5.44,3.289,Asia,Southern Asia,Lower-middle income,1.441465435
Bhutan,Unemployment rate by sex and age,Female,Under 15,Children,3.615,3.26,3.584,3.913,4.243,3.317,6.096,6.203,7.975,8.077,8.115,5.308909091,Asia,Southern Asia,Lower-middle income,2.028756242
Bhutan,Unemployment rate by sex and age,Male,15-24,Youth,8.257,7.993,10.182,12.491,14.939,9.813,19.195,17.173,25.473,25.725,26.148,16.12627273,Asia,Southern Asia,Lower-middle income,7.129774275
Bhutan,Unemployment rate by sex and age,Male,25+,Adults,1.22,1.097,1.17,1.26,1.361,1.535,2.801,2.478,2.641,2.772,2.855,1.926363636,Asia,Southern Asia,Lower-middle income,0.763752875
Bhutan,Unemployment rate by sex and age,Male,Under 15,Children,1.979,1.904,2.181,2.46,2.74,2.279,4.217,3.705,4.399,4.472,4.52,3.168727273,Asia,Southern Asia,Lower-middle income,1.090541158
Bolivia,Unemployment rate by sex and age,Female,15-24,Youth,6.926,8.486,7.734,7.595,6.891,7.644,16.073,8.908,6.908,7.875,8.171,8.473727273,Americas,Latin America and the Caribbean,Lower-middle income,2.602836917
Bolivia,Unemployment rate by sex and age,Female,25+,Adults,1.823,2.748,3.198,3.259,2.823,3.143,8.335,4.984,3.64,4.153,4.201,3.846090909,Americas,Latin America and the Caribbean,Lower-middle income,1.712081158
Bolivia,Unemployment rate by sex and age,Female,Under 15,Children,2.881,3.807,4.044,4.054,3.615,4,9.837,5.706,4.225,4.813,4.896,4.716181818,Americas,Latin America and the Caribbean,Lower-middle income,1.851913109
Bolivia,Unemployment rate by sex and age,Male,15-24,Youth,2.989,5.75,6.064,5.937,6.645,6.493,14.876,8.101,5.772,6.644,6.728,6.909,Americas,Latin America and the Caribbean,Lower-middle income,2.913776759
Bolivia,Unemployment rate by sex and age,Male,25+,Adults,0.913,1.844,2.402,2.735,2.653,2.681,4.336,3.888,2.509,2.849,2.885,2.699545455,Americas,Latin America and the Caribbean,Lower-middle income,0.905508074
Bolivia,Unemployment rate by sex and age,Male,Under 15,Children,1.375,2.632,3.101,3.344,3.445,3.438,6.457,4.635,3.063,3.504,3.555,3.504454545,Americas,Latin America and the Caribbean,Lower-middle income,1.252410505
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,15-24,Youth,65.74,67.615,59.135,51.238,45.831,37.535,43.152,40.96,38.176,36.195,34.572,47.28627273,Europe,Southern Europe,Upper-middle income,11.96574651
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,25+,Adults,27.499,26.651,27.331,20.396,17.864,16.564,15.978,16.234,13.891,12.987,12.519,18.90127273,Europe,Southern Europe,Upper-middle income,5.747061894
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,Under 15,Children,31.137,30.665,30.009,23.113,20.306,18.754,18.553,18.147,15.463,14.38,13.959,21.31690909,Europe,Southern Europe,Upper-middle income,6.514638278
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,15-24,Youth,61.838,60.467,52.954,43.897,35.985,31.632,32.837,31.971,28.194,26.402,25.978,39.28681818,Europe,Southern Europe,Upper-middle income,13.40154816
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,25+,Adults,21.256,21.65,19.105,15.987,15.054,11.685,12.304,10.803,9.259,8.603,8.559,14.02409091,Europe,Southern Europe,Upper-middle income,4.918855384
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,Under 15,Children,25.154,25.759,22.499,18.856,17.189,13.631,14.13,12.679,10.709,10.021,9.896,16.41118182,Europe,Southern Europe,Upper-middle income,5.917106722
Botswana,Unemployment rate by sex and age,Female,15-24,Youth,38.785,38.355,37.799,37.037,35.581,34.908,44.196,50.666,50.836,49.696,48.526,42.39863636,Africa,Sub-Saharan Africa,Upper-middle income,6.445680604
Botswana,Unemployment rate by sex and age,Female,25+,Adults,17.549,18.189,18.783,19.266,19.275,19.828,18.934,21.594,21.477,21.785,21.928,19.87345455,Africa,Sub-Saharan Africa,Upper-middle income,1.563590571
Botswana,Unemployment rate by sex and age,Female,Under 15,Children,21.215,21.524,21.804,21.981,21.672,21.966,22.65,26.158,26.016,26.022,25.898,23.35509091,Africa,Sub-Saharan Africa,Upper-middle income,2.144806306
Botswana,Unemployment rate by sex and age,Male,15-24,Youth,31.301,32.385,33.422,34.319,34.539,35.579,39.342,39.017,37.346,38.63,39.253,35.92118182,Africa,Sub-Saharan Africa,Upper-middle income,2.940169649
Botswana,Unemployment rate by sex and age,Male,25+,Adults,12.367,13.025,13.669,14.247,14.46,15.123,15.89,16.832,18.294,17.951,17.602,15.40545455,Africa,Sub-Saharan Africa,Upper-middle income,2.052994173
Botswana,Unemployment rate by sex and age,Male,Under 15,Children,15.945,16.565,17.168,17.692,17.798,18.422,19.578,20.37,21.451,21.423,21.259,18.87918182,Africa,Sub-Saharan Africa,Upper-middle income,2.028301103
Brazil,Unemployment rate by sex and age,Female,15-24,Youth,18.881,23.633,30.945,33.059,32.167,31.846,35.295,33.496,24.618,20.607,20.981,27.77527273,Americas,Latin America and the Caribbean,Upper-middle income,6.057038965
Brazil,Unemployment rate by sex and age,Female,25+,Adults,5.865,7.303,9.688,10.807,10.544,10.572,12.409,12.882,8.837,7.25,7.021,9.379818182,Americas,Latin America and the Caribbean,Upper-middle income,2.311094581
Brazil,Unemployment rate by sex and age,Female,Under 15,Children,8.33,10.306,13.599,14.876,14.409,14.346,16.247,16.434,11.509,9.415,9.229,12.60909091,Americas,Latin America and the Caribbean,Upper-middle income,2.944349044
Brazil,Unemployment rate by sex and age,Male,15-24,Youth,12.957,16.369,23.181,25.001,24.596,23.295,26.447,24.197,17.616,15.508,15.841,20.45527273,Americas,Latin America and the Caribbean,Upper-middle income,4.79535636
Brazil,Unemployment rate by sex and age,Male,25+,Adults,3.886,5.138,7.158,8.15,7.714,7.228,8.836,7.937,5.425,4.804,4.599,6.443181818,Americas,Latin America and the Caribbean,Upper-middle income,1.702336031
